,name of site,numbertimescited
238,sias.gov,1
239,pncc.gov,1
240,env.gov,1
314,istanbul.gov,1
313,communities.gov,1
331,neo.ne.gov,1
234,parliament.act.gov,1
333,st.nmfs.noaa.gov,1
232,treasury.tas.gov,1
352,forestry.gov,1
226,osmre.gov,1
107,ciwmb.ca.gov,1
74,pubmedcentral.nih.gov,1
228,nma.gov,1
230,treasury.sa.gov,1
346,eur.gov,1
345,med.gov,1
344,ag.ny.gov,1
343,fakr.noaa.gov,1
231,arpansa.gov,1
341,ftc.gov,1
340,phmsa.dot.gov,1
339,wapda.gov,1
338,nohrsc.noaa.gov,1
337,iaqscience.lbl.gov,1
336,floodsmart.gov,1
312,ofgem.gov,1
311,uregni.gov,1
310,berr.gov,1
287,ehp.qld.gov,1
285,amsa.gov,1
251,ndma.gov,1
283,premiers.qld.gov,1
101,betterhealth.vic.gov,1
254,dpc.sa.gov,1
279,foreign.senate.gov,1
256,aucklandcouncil.gov,1
94,for.gov,1
258,immigration.gov,1
275,capetown.gov,1
274,turismo.gov,1
260,deewr.gov,1
272,argentina.gov,1
271,dipec.jujuy.gov,1
269,ucpypfe.gov,1
267,mndm.gov,1
97,pmo.gov,1
286,oesr.qld.gov,1
250,library.ca.gov,1
309,piu.gov,1
102,dmhcc.gov,1
241,lansingmi.gov,1
242,imdpune.gov,1
243,reginfo.gov,1
305,scottishexecutive.gov,1
304,navcen.uscg.gov,1
106,biodiversity.wa.gov,1
301,elnino.noaa.gov,1
300,dfg.ca.gov,1
103,sae.gov,1
297,soskids.arkansas.gov,1
296,mpcb.gov,1
248,hcd.ca.gov,1
294,commune-tunis.gov,1
293,moccae.gov,1
292,ebeijing.gov,1
291,usdoj.gov,1
290,falklands.gov,1
223,doc.gov,1
355,idl.idaho.gov,1
222,tsunami.gov,1
424,nyscanals.gov,1
196,fcgs.gov,1
197,atlas.sa.gov,1
419,dos.ny.gov,1
198,daff.gov,1
417,qm.qld.gov,1
416,kjc.gov,1
415,jmg.gov,1
414,ne.doe.gov,1
413,health.vic.gov,1
199,ornl.gov,1
200,afsc.noaa.gov,1
201,gc.noaa.gov,1
202,antarcticanz.gov,1
408,fbi.gov,1
407,jct.gov,1
203,ibge.gov,1
405,anl.gov,1
422,elections.ny.gov,1
425,thruway.ny.gov,1
403,fe.doe.gov,1
110,fueleconomy.gov,1
35,cityofrochester.gov,1
190,gsfc.nasa.gov,1
443,police.gov,1
442,srs.fs.usda.gov,1
441,cityofboston.gov,1
98,st.gov,1
112,nationalarchives.gov,1
39,transit.dot.gov,1
436,museum.vic.gov,1
435,dest.gov,1
434,arc.gov,1
433,comcare.gov,1
432,ipaustralia.gov,1
430,ustr.gov,1
429,ny.gov,1
428,americaslibrary.gov,1
427,archives.nysed.gov,1
404,moeaboe.gov,1
109,eere.energy.gov,1
357,ssa.gov,1
52,ageis.greenhouse.gov,1
376,vermonttreasurer.gov,1
375,cityoflondon.gov,1
374,cbs.gov,1
373,nal.usda.gov,1
371,oe.netl.doe.gov,1
60,westerncape.gov,1
368,moit.gov,1
367,ofcm.gov,1
218,ncforestservice.gov,1
365,des.nh.gov,1
364,ttb.gov,1
219,millennium.gov,1
220,bforest.gov,1
221,portal.gsi.gov,1
71,mbie.gov,1
359,mlaw.gov,1
358,nlm.nih.gov,1
215,imdkolkata.gov,1
380,greateratlantic.fisheries.noaa.gov,1
401,barrasso.senate.gov,1
51,ab.gov,1
400,emergency.vic.gov,1
205,orer.gov,1
398,ffm.vic.gov,1
206,accc.gov,1
207,climatechangeauthority.gov,1
395,cmtedd.act.gov,1
208,ndrc.gov,1
393,premier.vic.gov,1
47,moef.gov,1
391,esa.act.gov,1
390,cabinetoffice.gov,1
209,cleanenergyfuture.gov,1
388,dor.ms.gov,1
387,mshistorynow.mdah.ms.gov,1
386,moea.gov,1
210,cleanenergyregulator.gov,1
382,mmc.gov,1
54,transport.gov,1
